id	text	misogynous	misogyny_category	target
1	@KassemAmin4 @Laylasexgdr Fatti trovare  te lo do volentieri e ti sborro in bocca	1	sexual_harassment	active
2	@meb Tu dovresti ricominciare dai semafori a fare la lavavetri..ma tranquilla tanto il vitalizio ti resterà in gola	1	dominance	active
3	Amore,sei presentabile? Xchè così via Skype ti faccio conoscere i miei parenti..." e fu così che da un tablet ho conosciuto i parenti terroni della mia tettona,prendendomi un "avete già finito di pranzare? beh si,voi al nord siete diversi..." Dal nord è tutto,a voi..."	1	stereotype	active
4	@Il_nulla Salvo poi mandare la culona a Mosca, aummaumm, per farsi dare da Putin commesse multimiliardarie e metterlo in quel posto ai FRATELLI della UE (tra i quali NOI)	1	stereotype	active
5	@GiorgiaMeloni @FratellidItaIia Vediamo Gentiloni, è ora di finirla di essere servili! Pensiamo al danno che la Francia ci ha fatto con Sarkosy e la culona della Merkel con il bombardamento della Libia	1	stereotype	active
6	@alinefenaroly Che cagna che sei anke io voglio fare pasqua cosi con te mmmmmm	1	discredit	active
7	@Alex82564331 Bella figa da scopare	1	sexual_harassment	active
8	Puttana — ma che cazzo ne sai tu ma la smetti https://t.co/BNpkOWXXQ0	1	discredit	active
9	@elheartmash Ti inculo https://t.co/Bs92ZWOYr5	1	sexual_harassment	active
10	Finalmente di nuovo con la mia polpettona culona coccodrillosa ❤. https://t.co/HhVIJySiLc	1	stereotype	active
11	@ValeSantaSubito che puttanone	1	discredit	active
12	@ficamiatop Ti scopo la figa	1	sexual_harassment	active
13	Mi è piaciuto un video di @YouTube: https://t.co/hqmB5QNeN1 20 MOTIVI PER USCIRE CON UNA TETTONA	1	stereotype	passive
14	@SailorNuzz Ah tettona	1	stereotype	active
15	@pheiticeira @SailorNuzz Hai visto suoi stories ?la tettona	1	stereotype	active
16	@leone5264 @TwittGiorgio @ilgiornale Abbiamo già avuto  MONTI,, ed abbiamo visto cosa ha fatto ,, assieme alla Fornero,, servi dell' Europa ,leccaculi della culona e di Sarkozy	1	stereotype	active
17	Comunque Chiara Ferragni tettona sicuramente fra i regali più belli di questo 2018.	1	stereotype	active
18	@sdeangelis56 Il problema è sorto da quando il premier francese fece assassinare Gheddafi in combutta con il presidente USA e la culona tedesca.	1	stereotype	active
19	@marica_love23 @MattleyR Marica seguimi ti scopo io troia	1	sexual_harassment	active
20	Zitta puttana ti metto i coglioni in gola https://t.co/IXMZmVfB7V	1	dominance	active
21	#Isola sto rivedendo replica dell'isola. Elena schifosa lurida, ma chiudi la boccaccia  Cattiva perfida	1	dominance	active
22	@sexyforyou74 Puttanona Adorata ??	1	discredit	active
23	@erisdelrey perché sei una figa di legno, giusto?	1	discredit	active
24	Tremenda culona rica.. @Esposos33 https://t.co/yTj3zRs9mA	1	stereotype	active
25	@Melissa_Merz Che tettona?	1	stereotype	active
26	@meb Loro purtroppo hanno dei problemi, tu invece i problemi li hai creati e continui imperterrita a crearli, quando sarà che ti togli definitivamente dai coglioni, rendi il maltolto e vai a vangare??? Sparisci figa di legno!!!	1	dominance	active
27	@DirtyElaine Non sparire però :) tettona bella	1	stereotype	active
28	mi fa schifo al cazzo lei e la sua mentalità di merda porca puttana ma muori	1	sexual_harassment	active
29	@Libero_official Grande Laurito. Quindi la Asia Argento ci sta dicendo che quasi tutte quelle che hanno avuto successo, premi, riconoscimenti, sono delle gran puttane? E che lei - non da meno- è offesa perchè oltre ad iniezione di carne non ha avuto altro	1	derailing	active
30	Non ho voglia di lasciare il mio lago x farmi 3 ore fino a Malpensa x la mia tettona...Che palleeeeee...	1	stereotype	active
31	RT @loveyinseok: @agustdoIl Che troia che sei https://t.co/T9PcTOXFbm	1	discredit	active
32	@SexyRamonaXXX @Martatoia_va Ti sborro sulla lingua ... ovviamente	1	sexual_harassment	active
33	COME DIVENTARE UN PUTTANONE DA BATTAGLIA!: https://t.co/E7qcbpthn3 tramite @YouTube	1	discredit	passive
34	#Selvaggilucarelli non sa recitare, non sa ballare, non sa presentare, diciamo che non sa fare nulla e l'unico motivo per cui si trova in tv è perchè è un puttanone che l'ha data a mezzo mondo...	1	discredit	active
35	@cmswllng @erika_battiston Che bella pompinara	1	discredit	active
36	@meb Echi se ne frega di te e delle tue amiche tu sei una lurida che si prende un casino di soldi da noi italiani x non fare un cazzo scusa se uso il francese x il mio disappunto nei tuoi confronti ciaonee	1	discredit	active
37	Qualsiasi cosa possa aver fatto o detto #RaoulBova, #SelvaggiaLucarelli @stanzaselvaggia si propone sempre per quello che è: una maleducata, villana, acida, pronta a attaccare tutto e tutti per fare show. @Ballando_Rai da lei ricava solo una brutta pubblicità. Peccato. https://t.co/A8gyHpKj0N	1	derailing	active
38	@GILDA31395269 che bella coda di cavalla da tirare mentre ti inculo	1	sexual_harassment	active
39	@GILDA31395269 ed io ti inculo carissima GILDA	1	sexual_harassment	active
40	@WeirdLifeHacks @ChemistryVids_ Il trucco del perfetto puttanone	1	discredit	passive
41	@sole24ore @carlottaventura @MarcoPatuano @poliziadistato ma li sbocchini pe fatte protegge la troia che sei?	1	discredit	active
42	Ti lascio che eri una brava ragazza e ti ritrovo un puttanone #upas	1	discredit	active
43	fIgA dI lEgNo	1	discredit	active
44	@scopgdrx scrivimi in dm se vuoi essere sottomessa, troia	1	sexual_harassment	active
45	@riccionecp complimenti cara signora che gran bel culone . Tutto da leccare e succhiare . Mmmmm	1	sexual_harassment	active
46	@LirosNoble @EdwardRedfern Ma che c'entra il sessimo? Se dico che Weinstein è un puttaniere porco e maniaco sessuale va bene, ma se dico che Selvaggia Lucarelli è un puttanone è sessismo?	1	derailing	active
47	Se scrivi che Weinstein o Trump sono dei porci e dei maniaci tutti applaudono, ma se dici che Selvaggia Lucarelli è un puttanone sei sessista...	1	derailing	active
48	@claranderson21 @paulaharrys19 @solewinter Che tettona	1	stereotype	active
49	@ciccicrokki Ma basta co sta dieta.. Metti su un po' di bel culone che magari ti guardano di più, tu che ti lamenti sempre che non trovi da ciulareeee... Ai maschi piace palpareeeee....	1	sexual_harassment	active
50	@AliciaLaNena96 sei una figa fantastica ti scoperei volentieri	1	sexual_harassment	active
51	@luinonsospetta Splendida pompinara. Sborrooooo	1	sexual_harassment	active
52	Se vai a nanna sereno ...... è  meglio!Buonanotte da quella culona della Momi	1	stereotype	active
53	Ci mancava solo lo scandalo col puttanone cubano... #Emigratis	1	discredit	active
54	@carla_milf @luinonsospetta Gita fuori porta con te subito fuori la porta di casa ti inchiappetto e ti trombo e ti sborro sulle tette	1	sexual_harassment	active
55	@kathOsceansgdr //non mi ami? Che puttana che sei	1	discredit	active
56	@Gianlus990 La culona è una grande Paracelsus falsa e ignorante da far paura!!!	1	stereotype	active
57	@meb Quanto ti scoperei	1	sexual_harassment	active
58	@pisquini69 Buongiorno...grazie e buon martedì anche a te splendida tettona	1	stereotype	active
59	@coppiaovest @pioggiadoro @publicflashings @amateur_exhibit Buongiorno bella tettona	1	stereotype	active
